更新时间：2020-02-17 11:08:08
湖北
武汉,确诊:41152,死亡:1309,治愈:3458
巴中,确诊:24,死亡:0,治愈:3
绵阳,确诊:22,死亡:0,治愈:6
内江,确诊:22,死亡:0,治愈:5
泸州,确诊:19,死亡:0,治愈:3
德阳,确诊:17,死亡:0,治愈:0
遂宁,确诊:17,死亡:0,治愈:4
攀枝花,确诊:13,死亡:0,治愈:10
凉山,确诊:13,死亡:0,治愈:5
宜宾,确诊:11,死亡:0,治愈:6
自贡,确诊:9,死亡:0,治愈:2
眉山,确诊:8,死亡:0,治愈:2
雅安,确诊:7,死亡:0,治愈:2
广元,确诊:6,死亡:0,治愈:3
乐山,确诊:3,死亡:0,治愈:2
资阳,确诊:3,死亡:0,治愈:2
阿坝,确诊:1,死亡:0,治愈:0
黑龙江
哈尔滨,确诊:188,死亡:3,治愈:32
双鸭山,确诊:50,死亡:2,治愈:1
绥化,确诊:46,死亡:4,治愈:13
鸡西,确诊:46,死亡:0,治愈:2
齐齐哈尔,确诊:42,死亡:1,治愈:10
大庆,确诊:20,死亡:1,治愈:3
七台河,确诊:16,死亡:0,治愈:4
佳木斯,确诊:15,死亡:0,治愈:11
黑河,确诊:14,死亡:0,治愈:0
牡丹江,确诊:12,死亡:0,治愈:1
鹤岗,确诊:5,死亡:0,治愈:2
大兴安岭,确诊:2,死亡:0,治愈:1
伊春,确诊:1,死亡:0,治愈:0
北京
海淀,确诊:60,死亡:0,治愈:0
朝阳,确诊:58,死亡:0,治愈:0
西城,确诊:46,死亡:0,治愈:0
大兴,确诊:39,死亡:0,治愈:0
丰台,确诊:39,死亡:0,治愈:0
外地来京,确诊:26,死亡:0,治愈:0
昌平,确诊:25,死亡:0,治愈:0
通州,确诊:18,死亡:0,治愈:0
房山,确诊:16,死亡:0,治愈:0
石景山,确诊:14,死亡:0,治愈:0
东城,确诊:12,死亡:0,治愈:0
顺义,确诊:10,死亡:0,治愈:0
密云,确诊:7,死亡:0,治愈:0
怀柔,确诊:7,死亡:0,治愈:0
门头沟,确诊:3,死亡:0,治愈:0
延庆,确诊:1,死亡:0,治愈:0
地区待确认,确诊:0,死亡:4,治愈:114
上海
外地来沪,确诊:109,死亡:0,治愈:53
浦东,确诊:59,死亡:0,治愈:31
宝山,确诊:21,死亡:0,治愈:6
徐汇,确诊:18,死亡:0,治愈:4
闵行,确诊:18,死亡:0,治愈:8
静安,确诊:16,死亡:0,治愈:7
松江,确诊:14,死亡:0,治愈:2
长宁,确诊:13,死亡:0,治愈:7
普陀,确诊:11,死亡:0,治愈:3
杨浦,确诊:9,死亡:0,治愈:3
嘉定,确诊:9,死亡:0,治愈:2
奉贤,确诊:9,死亡:0,治愈:1
虹口,确诊:7,死亡:0,治愈:4
黄浦,确诊:6,死亡:0,治愈:2
青浦,确诊:5,死亡:0,治愈:5
崇明,确诊:4,死亡:0,治愈:0
金山,确诊:3,死亡:0,治愈:2
地区待确认,确诊:0,死亡:1,治愈:21
河北
唐山,确诊:51,死亡:0,治愈:9
沧州,确诊:47,死亡:2,治愈:18
张家口,确诊:34,死亡:0,治愈:9
保定,确诊:32,死亡:0,治愈:21
邯郸,确诊:31,死亡:0,治愈:10
廊坊,确诊:30,死亡:0,治愈:14
石家庄,确诊:28,死亡:0,治愈:7
邢台,确诊:23,死亡:1,治愈:10
秦皇岛,确诊:10,死亡:0,治愈:3
衡水,确诊:8,死亡:0,治愈:4
承德,确诊:7,死亡:0,治愈:4
福建
福州,确诊:69,死亡:0,治愈:23
莆田,确诊:55,死亡:0,治愈:10
泉州,确诊:46,死亡:0,治愈:13
厦门,确诊:35,死亡:0,治愈:6
宁德,确诊:25,死亡:0,治愈:5
漳州,确诊:20,死亡:0,治愈:6
南平,确诊:20,死亡:0,治愈:7
三明,确诊:14,死亡:0,治愈:3
龙岩,确诊:6,死亡:0,治愈:1
地区待确认,确诊:0,死亡:0,治愈:10
陕西
西安,确诊:117,死亡:0,治愈:0
安康,确诊:25,死亡:0,治愈:0
汉中,确诊:25,死亡:0,治愈:0
咸阳,确诊:17,死亡:0,治愈:0
渭南,确诊:15,死亡:0,治愈:0
宝鸡,确诊:13,死亡:0,治愈:0
延安,确诊:8,死亡:0,治愈:0
铜川,确诊:8,死亡:0,治愈:0
商洛,确诊:7,死亡:0,治愈:0
榆林,确诊:3,死亡:0,治愈:0
韩城,确诊:1,死亡:0,治愈:0
杨凌,确诊:1,死亡:0,治愈:0
地区待确认,确诊:0,死亡:0,治愈:74
广西
南宁,确诊:51,死亡:0,治愈:14
北海,确诊:43,死亡:1,治愈:9
桂林,确诊:31,死亡:0,治愈:10
柳州,确诊:24,死亡:0,治愈:8
河池,确诊:22,死亡:1,治愈:0
防城港,确诊:18,死亡:0,治愈:1
来宾,确诊:11,死亡:0,治愈:0
玉林,确诊:10,死亡:0,治愈:1
钦州,确诊:8,死亡:0,治愈:1
贵港,确诊:8,死亡:0,治愈:2
梧州,确诊:5,死亡:0,治愈:5
贺州,确诊:4,死亡:0,治愈:0
百色,确诊:3,死亡:0,治愈:0
崇左,确诊:0,死亡:0,治愈:0
云南
昆明,确诊:51,死亡:0,治愈:8
昭通市,确诊:25,死亡:0,治愈:2
西双版纳州,确诊:15,死亡:0,治愈:3
玉溪,确诊:14,死亡:0,治愈:3
大理,确诊:13,死亡:0,治愈:6
曲靖,确诊:13,死亡:0,治愈:5
保山市,确诊:9,死亡:0,治愈:2
红河,确诊:8,死亡:0,治愈:3
丽江市,确诊:7,死亡:0,治愈:5
德宏州,确诊:5,死亡:0,治愈:2
楚雄州,确诊:4,死亡:0,治愈:1
普洱,确诊:4,死亡:0,治愈:1
文山州,确诊:2,死亡:0,治愈:0
临沧,确诊:1,死亡:0,治愈:1
海南
三亚,确诊:54,死亡:1,治愈:15
海口,确诊:33,死亡:0,治愈:12
儋州,确诊:15,死亡:0,治愈:7
万宁,确诊:13,死亡:0,治愈:4
澄迈县,确诊:9,死亡:1,治愈:1
昌江县,确诊:7,死亡:0,治愈:0
琼海,确诊:6,死亡:1,治愈:3
临高县,确诊:6,死亡:0,治愈:3
陵水县,确诊:4,死亡:0,治愈:0
东方,确诊:3,死亡:0,治愈:2
文昌,确诊:3,死亡:0,治愈:1
保亭,确诊:3,死亡:0,治愈:1
定安县,确诊:3,死亡:1,治愈:2
乐东,确诊:2,死亡:0,治愈:0
琼中县,确诊:1,死亡:0,治愈:1
贵州
贵阳,确诊:36,死亡:0,治愈:10
遵义,确诊:32,死亡:0,治愈:5
毕节,确诊:23,死亡:0,治愈:7
黔南州,确诊:17,死亡:0,治愈:6
铜仁,确诊:10,死亡:0,治愈:7
黔东南州,确诊:10,死亡:0,治愈:4
六盘水,确诊:10,死亡:1,治愈:3
安顺,确诊:4,死亡:0,治愈:1
黔西南州,确诊:4,死亡:0,治愈:4
山西
晋中,确诊:36,死亡:0,治愈:13
太原,确诊:19,死亡:0,治愈:6
运城,确诊:19,死亡:0,治愈:13
大同,确诊:12,死亡:0,治愈:4
晋城,确诊:9,死亡:0,治愈:2
长治,确诊:8,死亡:0,治愈:1
忻州,确诊:7,死亡:0,治愈:1
朔州,确诊:7,死亡:0,治愈:2
吕梁,确诊:6,死亡:0,治愈:6
阳泉,确诊:4,死亡:0,治愈:1
临汾,确诊:2,死亡:0,治愈:1
天津
宝坻区,确诊:50,死亡:2,治愈:11
河东区,确诊:15,死亡:1,治愈:7
河北区,确诊:12,死亡:0,治愈:7
北辰区,确诊:6,死亡:0,治愈:1
外地来津,确诊:6,死亡:0,治愈:3
和平区,确诊:6,死亡:0,治愈:4
南开区,确诊:6,死亡:0,治愈:1
宁河区,确诊:4,死亡:0,治愈:0
河西区,确诊:4,死亡:0,治愈:2
西青区,确诊:4,死亡:0,治愈:3
东丽区,确诊:4,死亡:0,治愈:1
滨海新区,确诊:3,死亡:0,治愈:1
武清区,确诊:2,死亡:0,治愈:1
红桥区,确诊:2,死亡:0,治愈:2
津南区,确诊:1,死亡:0,治愈:1
辽宁
沈阳,确诊:28,死亡:0,治愈:11
大连,确诊:19,死亡:0,治愈:5
锦州,确诊:12,死亡:0,治愈:7
葫芦岛,确诊:12,死亡:1,治愈:0
盘锦,确诊:11,死亡:0,治愈:2
阜新,确诊:8,死亡:0,治愈:3
铁岭,确诊:7,死亡:0,治愈:2
丹东,确诊:7,死亡:0,治愈:4
朝阳市,确诊:6,死亡:0,治愈:3
鞍山,确诊:4,死亡:0,治愈:0
辽阳,确诊:3,死亡:0,治愈:2
本溪,确诊:3,死亡:0,治愈:1
营口,确诊:1,死亡:0,治愈:1
甘肃
兰州,确诊:35,死亡:2,治愈:17
天水,确诊:12,死亡:0,治愈:9
平凉,确诊:9,死亡:0,治愈:1
定西,确诊:9,死亡:0,治愈:8
甘南州,确诊:8,死亡:0,治愈:2
陇南,确诊:4,死亡:0,治愈:3
白银,确诊:4,死亡:0,治愈:1
庆阳,确诊:3,死亡:0,治愈:2
临夏,确诊:3,死亡:0,治愈:3
张掖,确诊:2,死亡:0,治愈:2
金昌,确诊:1,死亡:0,治愈:1
地区待确定,确诊:0,死亡:0,治愈:5
吉林
长春,确诊:45,死亡:0,治愈:16
四平,确诊:14,死亡:1,治愈:4
辽源,确诊:7,死亡:0,治愈:1
公主岭,确诊:6,死亡:0,治愈:2
吉林,确诊:5,死亡:0,治愈:3
延边,确诊:5,死亡:0,治愈:2
通化,确诊:3,死亡:0,治愈:0
松原,确诊:2,死亡:0,治愈:1
梅河口市,确诊:1,死亡:0,治愈:1
白城,确诊:1,死亡:0,治愈:0
新疆
乌鲁木齐,确诊:23,死亡:0,治愈:4
伊犁州,确诊:18,死亡:0,治愈:4
兵团第四师,确诊:10,死亡:0,治愈:0
昌吉州,确诊:4,死亡:0,治愈:0
兵团第九师,确诊:4,死亡:0,治愈:0
兵团第十二师,确诊:3,死亡:0,治愈:0
吐鲁番,确诊:3,死亡:0,治愈:1
第八师石河子,确诊:3,死亡:1,治愈:1
巴州,确诊:3,死亡:0,治愈:0
六师五家渠,确诊:2,死亡:0,治愈:0
第七师,确诊:1,死亡:0,治愈:1
阿克苏,确诊:1,死亡:0,治愈:1
内蒙古
包头,确诊:11,死亡:0,治愈:0
鄂尔多斯,确诊:11,死亡:0,治愈:3
赤峰,确诊:9,死亡:0,治愈:2
锡林郭勒,确诊:8,死亡:0,治愈:1
巴彦淖尔,确诊:8,死亡:0,治愈:0
呼和浩特,确诊:7,死亡:0,治愈:0
呼伦贝尔,确诊:6,死亡:0,治愈:1
通辽,确诊:6,死亡:0,治愈:0
乌兰察布,确诊:3,死亡:0,治愈:1
乌海,确诊:2,死亡:0,治愈:0
兴安盟乌兰浩特,确诊:1,死亡:0,治愈:0
宁夏
银川,确诊:33,死亡:0,治愈:20
吴忠,确诊:27,死亡:0,治愈:6
固原,确诊:5,死亡:0,治愈:2
中卫,确诊:3,死亡:0,治愈:3
石嘴山,确诊:1,死亡:0,治愈:1
宁东管委会,确诊:1,死亡:0,治愈:1
香港
地区待确认,确诊:57,死亡:1,治愈:2
台湾
地区待确认,确诊:20,死亡:1,治愈:2
青海
西宁,确诊:15,死亡:0,治愈:3
海北州,确诊:3,死亡:0,治愈:0
地区待确认,确诊:0,死亡:0,治愈:10
澳门
地区待确认,确诊:10,死亡:0,治愈:5
西藏
地区待确认,确诊:1,死亡:0,治愈:1
更新时间：2020-02-17 11:08:08
湖北
武汉,确诊:41152,死亡:1309,治愈:3458
孝感,确诊:3279,死亡:70,治愈:449
黄冈,确诊:2831,死亡:78,治愈:838
荆州,确诊:1501,死亡:37,治愈:305
鄂州,确诊:1274,死亡:35,治愈:244
随州,确诊:1267,死亡:24,治愈:140
襄阳,确诊:1155,死亡:20,治愈:151
黄石,确诊:983,死亡:15,治愈:206
荆门,确诊:915,死亡:33,治愈:132
宜昌,确诊:895,死亡:24,治愈:156
咸宁,确诊:861,死亡:10,治愈:181
十堰,确诊:612,死亡:2,治愈:126
仙桃,确诊:531,死亡:19,治愈:107
天门,确诊:485,死亡:10,治愈:39
恩施州,确诊:249,死亡:4,治愈:81
潜江,确诊:182,死亡:6,治愈:18
神农架,确诊:10,死亡:0,治愈:8
广东
深圳,确诊:415,死亡:2,治愈:131
广州,确诊:339,死亡:0,治愈:121
珠海,确诊:97,死亡:0,治愈:37
东莞,确诊:89,死亡:1,治愈:15
佛山,确诊:84,死亡:0,治愈:23
中山,确诊:66,死亡:0,治愈:34
惠州,确诊:58,死亡:0,治愈:26
汕头,确诊:25,死亡:0,治愈:13
江门,确诊:23,死亡:0,治愈:3
湛江,确诊:22,死亡:0,治愈:11
肇庆,确诊:17,死亡:1,治愈:8
梅州,确诊:16,死亡:0,治愈:7
茂名,确诊:14,死亡:0,治愈:3
阳江,确诊:13,死亡:0,治愈:7
清远,确诊:12,死亡:0,治愈:5
韶关,确诊:10,死亡:0,治愈:4
揭阳,确诊:8,死亡:0,治愈:4
汕尾,确诊:5,死亡:0,治愈:1
潮州,确诊:5,死亡:0,治愈:1
河源,确诊:4,死亡:0,治愈:1
地区待确认,确诊:0,死亡:0,治愈:18
河南
信阳,确诊:262,死亡:2,治愈:28
南阳,确诊:154,死亡:2,治愈:28
郑州,确诊:151,死亡:0,治愈:36
驻马店,确诊:138,死亡:0,治愈:25
商丘,确诊:91,死亡:0,治愈:9
周口,确诊:75,死亡:0,治愈:16
平顶山,确诊:58,死亡:1,治愈:13
新乡,确诊:57,死亡:1,治愈:6
安阳,确诊:51,死亡:0,治愈:10
许昌,确诊:38,死亡:0,治愈:2
漯河,确诊:34,死亡:0,治愈:6
焦作,确诊:32,死亡:1,治愈:1
洛阳,确诊:31,死亡:0,治愈:2
开封,确诊:26,死亡:0,治愈:1
鹤壁,确诊:19,死亡:0,治愈:3
濮阳,确诊:17,死亡:0,治愈:1
三门峡,确诊:7,死亡:0,治愈:3
济源示范区,确诊:5,死亡:0,治愈:0
地区待确认,确诊:0,死亡:9,治愈:248
浙江
温州,确诊:503,死亡:0,治愈:182
杭州,确诊:168,死亡:0,治愈:81
宁波,确诊:156,死亡:0,治愈:62
台州,确诊:146,死亡:0,治愈:63
金华,确诊:55,死亡:0,治愈:24
嘉兴,确诊:43,死亡:0,治愈:11
绍兴,确诊:42,死亡:0,治愈:18
衢州,确诊:21,死亡:0,治愈:9
丽水,确诊:17,死亡:0,治愈:11
舟山,确诊:10,死亡:0,治愈:5
湖州,确诊:10,死亡:0,治愈:4
湖南
长沙,确诊:241,死亡:1,治愈:88
岳阳,确诊:154,死亡:1,治愈:54
邵阳,确诊:101,死亡:1,治愈:64
常德,确诊:79,死亡:0,治愈:31
株洲,确诊:78,死亡:0,治愈:33
娄底,确诊:76,死亡:0,治愈:35
益阳,确诊:59,死亡:0,治愈:27
衡阳,确诊:48,死亡:0,治愈:28
永州,确诊:43,死亡:0,治愈:28
怀化,确诊:40,死亡:0,治愈:32
郴州,确诊:39,死亡:0,治愈:22
湘潭,确诊:35,死亡:0,治愈:15
湘西自治州,确诊:8,死亡:0,治愈:6
张家界,确诊:5,死亡:0,治愈:4
安徽
合肥,确诊:171,死亡:1,治愈:51
蚌埠,确诊:158,死亡:5,治愈:21
阜阳,确诊:153,死亡:0,治愈:41
亳州,确诊:108,死亡:0,治愈:35
安庆,确诊:83,死亡:0,治愈:34
六安,确诊:68,死亡:0,治愈:21
宿州,确诊:40,死亡:0,治愈:16
马鞍山,确诊:36,死亡:0,治愈:12
芜湖,确诊:31,死亡:0,治愈:13
铜陵,确诊:28,死亡:0,治愈:11
淮北,确诊:27,死亡:0,治愈:10
淮南,确诊:25,死亡:0,治愈:8
池州,确诊:17,死亡:0,治愈:6
滁州,确诊:13,死亡:0,治愈:7
黄山,确诊:9,死亡:0,治愈:3
宣城,确诊:6,死亡:0,治愈:4
江西
南昌,确诊:228,死亡:0,治愈:89
新余,确诊:129,死亡:0,治愈:44
上饶,确诊:123,死亡:0,治愈:35
九江,确诊:117,死亡:0,治愈:22
宜春,确诊:106,死亡:0,治愈:24
赣州,确诊:76,死亡:1,治愈:18
抚州,确诊:72,死亡:0,治愈:22
萍乡,确诊:33,死亡:0,治愈:5
吉安,确诊:21,死亡:0,治愈:10
鹰潭,确诊:18,死亡:0,治愈:3
景德镇,确诊:6,死亡:0,治愈:3
赣江新区,确诊:1,死亡:0,治愈:0
江苏
南京,确诊:92,死亡:0,治愈:32
苏州,确诊:86,死亡:0,治愈:26
徐州,确诊:79,死亡:0,治愈:28
淮安,确诊:65,死亡:0,治愈:21
无锡,确诊:55,死亡:0,治愈:19
常州,确诊:49,死亡:0,治愈:20
连云港,确诊:48,死亡:0,治愈:13
南通,确诊:40,死亡:0,治愈:16
泰州,确诊:37,死亡:0,治愈:20
盐城,确诊:27,死亡:0,治愈:12
扬州,确诊:23,死亡:0,治愈:8
宿迁,确诊:13,死亡:0,治愈:7
镇江,确诊:12,死亡:0,治愈:4
重庆
万州区,确诊:108,死亡:3,治愈:35
江北区,确诊:28,死亡:0,治愈:3
云阳县,确诊:24,死亡:0,治愈:16
綦江区,确诊:23,死亡:0,治愈:6
合川区,确诊:23,死亡:0,治愈:6
长寿区,确诊:21,死亡:0,治愈:9
渝中区,确诊:20,死亡:0,治愈:12
奉节县,确诊:20,死亡:0,治愈:6
垫江县,确诊:20,死亡:0,治愈:6
开州区,确诊:20,死亡:1,治愈:13
九龙坡区,确诊:20,死亡:1,治愈:8
忠县,确诊:20,死亡:0,治愈:10
潼南区,确诊:18,死亡:0,治愈:2
两江新区,确诊:17,死亡:0,治愈:7
南岸区,确诊:15,死亡:0,治愈:3
渝北区,确诊:15,死亡:0,治愈:7
石柱县,确诊:14,死亡:0,治愈:5
大足区,确诊:14,死亡:0,治愈:3
巫溪县,确诊:13,死亡:0,治愈:8
巫山县,确诊:10,死亡:0,治愈:5
丰都县,确诊:10,死亡:0,治愈:3
铜梁区,确诊:9,死亡:0,治愈:3
璧山区,确诊:9,死亡:0,治愈:5
荣昌区,确诊:9,死亡:0,治愈:3
沙坪坝区,确诊:8,死亡:0,治愈:1
大渡口区,确诊:7,死亡:0,治愈:5
巴南区,确诊:6,死亡:0,治愈:1
永川区,确诊:5,死亡:0,治愈:2
江津区,确诊:4,死亡:0,治愈:2
高新区,确诊:4,死亡:0,治愈:1
梁平区,确诊:4,死亡:0,治愈:4
涪陵区,确诊:3,死亡:0,治愈:1
城口县,确诊:2,死亡:0,治愈:2
黔江区,确诊:2,死亡:0,治愈:2
彭水县,确诊:2,死亡:0,治愈:0
武隆区,确诊:1,死亡:0,治愈:1
万盛经开区,确诊:1,死亡:0,治愈:0
酉阳县,确诊:1,死亡:0,治愈:0
秀山县,确诊:1,死亡:0,治愈:1
山东
青岛,确诊:57,死亡:1,治愈:26
济宁,确诊:52,死亡:0,治愈:18
临沂,确诊:47,死亡:0,治愈:32
烟台,确诊:47,死亡:0,治愈:13
济南,确诊:47,死亡:0,治愈:11
潍坊,确诊:44,死亡:0,治愈:10
威海,确诊:38,死亡:0,治愈:9
聊城,确诊:38,死亡:0,治愈:11
德州,确诊:37,死亡:1,治愈:7
泰安,确诊:32,死亡:0,治愈:5
淄博,确诊:29,死亡:0,治愈:4
枣庄,确诊:24,死亡:0,治愈:4
菏泽,确诊:18,死亡:0,治愈:13
日照,确诊:16,死亡:0,治愈:3
滨州,确诊:15,死亡:0,治愈:9
四川
成都,确诊:140,死亡:3,治愈:53
甘孜,确诊:57,死亡:0,治愈:3
达州,确诊:38,死亡:0,治愈:6
南充,确诊:35,死亡:0,治愈:9
广安,确诊:30,死亡:0,治愈:10
巴中,确诊:24,死亡:0,治愈:3
绵阳,确诊:22,死亡:0,治愈:6
内江,确诊:22,死亡:0,治愈:5
泸州,确诊:19,死亡:0,治愈:3
德阳,确诊:17,死亡:0,治愈:0
遂宁,确诊:17,死亡:0,治愈:4
攀枝花,确诊:13,死亡:0,治愈:10
凉山,确诊:13,死亡:0,治愈:5
宜宾,确诊:11,死亡:0,治愈:6
自贡,确诊:9,死亡:0,治愈:2
眉山,确诊:8,死亡:0,治愈:2
雅安,确诊:7,死亡:0,治愈:2
广元,确诊:6,死亡:0,治愈:3
乐山,确诊:3,死亡:0,治愈:2
资阳,确诊:3,死亡:0,治愈:2
阿坝,确诊:1,死亡:0,治愈:0
黑龙江
哈尔滨,确诊:188,死亡:3,治愈:32
双鸭山,确诊:50,死亡:2,治愈:1
绥化,确诊:46,死亡:4,治愈:13
鸡西,确诊:46,死亡:0,治愈:2
齐齐哈尔,确诊:42,死亡:1,治愈:10
大庆,确诊:20,死亡:1,治愈:3
七台河,确诊:16,死亡:0,治愈:4
佳木斯,确诊:15,死亡:0,治愈:11
黑河,确诊:14,死亡:0,治愈:0
牡丹江,确诊:12,死亡:0,治愈:1
鹤岗,确诊:5,死亡:0,治愈:2
大兴安岭,确诊:2,死亡:0,治愈:1
伊春,确诊:1,死亡:0,治愈:0
北京
海淀,确诊:60,死亡:0,治愈:0
朝阳,确诊:58,死亡:0,治愈:0
西城,确诊:46,死亡:0,治愈:0
大兴,确诊:39,死亡:0,治愈:0
丰台,确诊:39,死亡:0,治愈:0
外地来京,确诊:26,死亡:0,治愈:0
昌平,确诊:25,死亡:0,治愈:0
通州,确诊:18,死亡:0,治愈:0
房山,确诊:16,死亡:0,治愈:0
石景山,确诊:14,死亡:0,治愈:0
东城,确诊:12,死亡:0,治愈:0
顺义,确诊:10,死亡:0,治愈:0
密云,确诊:7,死亡:0,治愈:0
怀柔,确诊:7,死亡:0,治愈:0
门头沟,确诊:3,死亡:0,治愈:0
延庆,确诊:1,死亡:0,治愈:0
地区待确认,确诊:0,死亡:4,治愈:114
上海
外地来沪,确诊:109,死亡:0,治愈:53
浦东,确诊:59,死亡:0,治愈:31
宝山,确诊:21,死亡:0,治愈:6
徐汇,确诊:18,死亡:0,治愈:4
闵行,确诊:18,死亡:0,治愈:8
静安,确诊:16,死亡:0,治愈:7
松江,确诊:14,死亡:0,治愈:2
长宁,确诊:13,死亡:0,治愈:7
普陀,确诊:11,死亡:0,治愈:3
杨浦,确诊:9,死亡:0,治愈:3
嘉定,确诊:9,死亡:0,治愈:2
奉贤,确诊:9,死亡:0,治愈:1
虹口,确诊:7,死亡:0,治愈:4
黄浦,确诊:6,死亡:0,治愈:2
青浦,确诊:5,死亡:0,治愈:5
崇明,确诊:4,死亡:0,治愈:0
金山,确诊:3,死亡:0,治愈:2
地区待确认,确诊:0,死亡:1,治愈:21
河北
唐山,确诊:51,死亡:0,治愈:9
沧州,确诊:47,死亡:2,治愈:18
张家口,确诊:34,死亡:0,治愈:9
保定,确诊:32,死亡:0,治愈:21
邯郸,确诊:31,死亡:0,治愈:10
廊坊,确诊:30,死亡:0,治愈:14
石家庄,确诊:28,死亡:0,治愈:7
邢台,确诊:23,死亡:1,治愈:10
秦皇岛,确诊:10,死亡:0,治愈:3
衡水,确诊:8,死亡:0,治愈:4
承德,确诊:7,死亡:0,治愈:4
福建
福州,确诊:69,死亡:0,治愈:23
莆田,确诊:55,死亡:0,治愈:10
泉州,确诊:46,死亡:0,治愈:13
厦门,确诊:35,死亡:0,治愈:6
宁德,确诊:25,死亡:0,治愈:5
漳州,确诊:20,死亡:0,治愈:6
南平,确诊:20,死亡:0,治愈:7
三明,确诊:14,死亡:0,治愈:3
龙岩,确诊:6,死亡:0,治愈:1
地区待确认,确诊:0,死亡:0,治愈:10
陕西
西安,确诊:117,死亡:0,治愈:0
安康,确诊:25,死亡:0,治愈:0
汉中,确诊:25,死亡:0,治愈:0
咸阳,确诊:17,死亡:0,治愈:0
渭南,确诊:15,死亡:0,治愈:0
宝鸡,确诊:13,死亡:0,治愈:0
延安,确诊:8,死亡:0,治愈:0
铜川,确诊:8,死亡:0,治愈:0
商洛,确诊:7,死亡:0,治愈:0
榆林,确诊:3,死亡:0,治愈:0
韩城,确诊:1,死亡:0,治愈:0
杨凌,确诊:1,死亡:0,治愈:0
地区待确认,确诊:0,死亡:0,治愈:74
广西
南宁,确诊:51,死亡:0,治愈:14
北海,确诊:43,死亡:1,治愈:9
桂林,确诊:31,死亡:0,治愈:10
柳州,确诊:24,死亡:0,治愈:8
河池,确诊:22,死亡:1,治愈:0
防城港,确诊:18,死亡:0,治愈:1
来宾,确诊:11,死亡:0,治愈:0
玉林,确诊:10,死亡:0,治愈:1
钦州,确诊:8,死亡:0,治愈:1
贵港,确诊:8,死亡:0,治愈:2
梧州,确诊:5,死亡:0,治愈:5
贺州,确诊:4,死亡:0,治愈:0
百色,确诊:3,死亡:0,治愈:0
崇左,确诊:0,死亡:0,治愈:0
云南
昆明,确诊:51,死亡:0,治愈:8
昭通市,确诊:25,死亡:0,治愈:2
西双版纳州,确诊:15,死亡:0,治愈:3
玉溪,确诊:14,死亡:0,治愈:3
大理,确诊:13,死亡:0,治愈:6
曲靖,确诊:13,死亡:0,治愈:5
保山市,确诊:9,死亡:0,治愈:2
红河,确诊:8,死亡:0,治愈:3
丽江市,确诊:7,死亡:0,治愈:5
德宏州,确诊:5,死亡:0,治愈:2
楚雄州,确诊:4,死亡:0,治愈:1
普洱,确诊:4,死亡:0,治愈:1
文山州,确诊:2,死亡:0,治愈:0
临沧,确诊:1,死亡:0,治愈:1
海南
三亚,确诊:54,死亡:1,治愈:15
海口,确诊:33,死亡:0,治愈:12
儋州,确诊:15,死亡:0,治愈:7
万宁,确诊:13,死亡:0,治愈:4
澄迈县,确诊:9,死亡:1,治愈:1
昌江县,确诊:7,死亡:0,治愈:0
琼海,确诊:6,死亡:1,治愈:3
临高县,确诊:6,死亡:0,治愈:3
陵水县,确诊:4,死亡:0,治愈:0
东方,确诊:3,死亡:0,治愈:2
文昌,确诊:3,死亡:0,治愈:1
保亭,确诊:3,死亡:0,治愈:1
定安县,确诊:3,死亡:1,治愈:2
乐东,确诊:2,死亡:0,治愈:0
琼中县,确诊:1,死亡:0,治愈:1
贵州
贵阳,确诊:36,死亡:0,治愈:10
遵义,确诊:32,死亡:0,治愈:5
毕节,确诊:23,死亡:0,治愈:7
黔南州,确诊:17,死亡:0,治愈:6
铜仁,确诊:10,死亡:0,治愈:7
黔东南州,确诊:10,死亡:0,治愈:4
六盘水,确诊:10,死亡:1,治愈:3
安顺,确诊:4,死亡:0,治愈:1
黔西南州,确诊:4,死亡:0,治愈:4
山西
晋中,确诊:36,死亡:0,治愈:13
太原,确诊:19,死亡:0,治愈:6
运城,确诊:19,死亡:0,治愈:13
大同,确诊:12,死亡:0,治愈:4
晋城,确诊:9,死亡:0,治愈:2
长治,确诊:8,死亡:0,治愈:1
忻州,确诊:7,死亡:0,治愈:1
朔州,确诊:7,死亡:0,治愈:2
吕梁,确诊:6,死亡:0,治愈:6
阳泉,确诊:4,死亡:0,治愈:1
临汾,确诊:2,死亡:0,治愈:1
天津
宝坻区,确诊:50,死亡:2,治愈:11
河东区,确诊:15,死亡:1,治愈:7
河北区,确诊:12,死亡:0,治愈:7
北辰区,确诊:6,死亡:0,治愈:1
外地来津,确诊:6,死亡:0,治愈:3
和平区,确诊:6,死亡:0,治愈:4
南开区,确诊:6,死亡:0,治愈:1
宁河区,确诊:4,死亡:0,治愈:0
河西区,确诊:4,死亡:0,治愈:2
西青区,确诊:4,死亡:0,治愈:3
东丽区,确诊:4,死亡:0,治愈:1
滨海新区,确诊:3,死亡:0,治愈:1
武清区,确诊:2,死亡:0,治愈:1
红桥区,确诊:2,死亡:0,治愈:2
津南区,确诊:1,死亡:0,治愈:1
辽宁
沈阳,确诊:28,死亡:0,治愈:11
大连,确诊:19,死亡:0,治愈:5
锦州,确诊:12,死亡:0,治愈:7
葫芦岛,确诊:12,死亡:1,治愈:0
盘锦,确诊:11,死亡:0,治愈:2
阜新,确诊:8,死亡:0,治愈:3
铁岭,确诊:7,死亡:0,治愈:2
